SINOPTERIDACEAE|Doryopteris concolor|Doryopteris concolor (Langsd. & Fisch.) Kuhn|LC|No||Perennial|Geophyte, herb|0.2|0.3|100|200|B, EC, FSA, KZN, LIM, M, N, NW, S, SA, WC
HYACINTHACEAE|Drimia altissima |Drimia altissima (L.f.) Ker Gawl.|Declining|No||Perennial|Geophyte, succulent|1|2.5|50|915|B, EC, FS, FSA, G, KZN, LIM, M, N, NW, S, SA
MESEMBRYANTHEMACEAE|Drosanthemum floribundum |Drosanthemum floribundum (Haw.) Schwantes|LC|No||Perennial|Succulent|0|0.3|20|100|FSA, SA, WC
MESEMBRYANTHEMACEAE|Drosanthemum hispidum |Drosanthemum hispidum (L.) Schwantes|LC|No||Perennial|Succulent|0.3|0.6|0|1600|EC, FS, FSA, N, NC, SA, WC
DRYOPTERIDACEAE|Dryopteris lewalleana |Dryopteris lewalleana Pic.Serm.|LC|No||Perennial|Geophyte, herb, lithophyte|0.3|0.89|200|1800|EC, FS, FSA, G, KZN, LIM, M, S, SA, WC
POACEAE|Echinochloa colona |Echinochloa colona (L.) Link|LC|No||Annual|Graminoid|0|1.5|5|1800|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, S, SA
BORAGINACEAE|Ehretia rigida |Ehretia rigida (Thunb.) Druce subsp. rigida|LC|No||Perennial|Shrub, tree|0|4|150|1400|EC, FSA, NC, SA, WC
CELASTRACEAE|Elaeodendron zeyheri |Elaeodendron zeyheri Spreng. ex Turcz.|LC|No||Perennial|Tree|2|10|200|1750|EC, FSA, KZN, LIM, SA
POACEAE|Elionurus muticus |Elionurus muticus (Spreng.) Kunth|LC|No||Perennial|Graminoid|0|1.2|15|2500|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, S, SA
ZAMIACEAE|Encephalartos cycadifolius|Encephalartos cycadifolius (Jacq.) Lehm.|LC|No||Perennial|Shrub|0.25|0.89|950|1600|EC, FSA, SA
